property,classifier,accuracy,precision,recall,f1
4,Bagging,0.8272308438409312,0.8507928255783728,0.79364694471387,0.8212269476853594
4,Extra Trees,0.7981328806983511,0.8086869194074818,0.7810378273520854,0.7946219316639941
4,CatBoost,0.8617846750727449,0.873,0.8467507274490785,0.8596750369276218
4,LightGBM,0.8475994180407371,0.8600854056769656,0.8302618816682832,0.8449105490438001
4,XGBoost,0.8495392822502424,0.8597454454704268,0.8353540252182348,0.8473742467101217
5,SVM,0.7909796314258002,0.810077519379845,0.760184287099903,0.7843382536902677
5,Random Forest,0.8061348205625606,0.8307571391144878,0.768913676042677,0.7986399697771062
5,Logistic Regression,0.7661251212415131,0.7797603874585776,0.7417555771096024,0.7602833354044986
5,Naive Bayes,0.6824684772065955,0.6880779805048738,0.6675557710960233,0.6776615384615384
5,K-NN,0.6226964112512124,0.7375586854460094,0.38094083414161006,0.5023984649824113
5,Gradient Boosting,0.8148642095053347,0.84018862981399,0.777643064985451,0.8077068379297317
5,AdaBoost,0.7881910766246363,0.7923739237392374,0.7810378273520854,0.7866650384662351
5,Decision Tree,0.741270611057226,0.7338975082275505,0.7570320077594569,0.7452852709477202
5,Perceptron,0.6789524733268671,0.6540066777963273,0.7599418040737148,0.7030058322117542
5,SGD,0.7416343355965083,0.7670865719646207,0.6939864209505334,0.7287078294080204
5,Bagging,0.8325654704170709,0.8602574205411084,0.7941319107662463,0.8258731559702434
5,Extra Trees,0.7983753637245393,0.8123889312008123,0.7759456838021338,0.7937492248542726
5,CatBoost,0.8596023278370514,0.8694569008470354,0.8462657613967022,0.857704595723765
5,LightGBM,0.847478176527643,0.8618686868686869,0.8275945683802134,0.8443839683325086
5,XGBoost,0.8591173617846751,0.8696954568147778,0.8448108632395732,0.8570725707257073
6,SVM,0.6955625606207565,0.6912497035807446,0.7068380213385063,0.6989569595971706
6,Random Forest,0.7811590688651794,0.7896577566824882,0.7664888457807953,0.7779008244124523
6,Logistic Regression,0.6166343355965083,0.6187068114511353,0.6079049466537343,0.6132583170254403
6,Naive Bayes,0.6483996120271581,0.6490501704822211,0.6462172647914646,0.6476306196840826
6,K-NN,0.5420708050436469,0.6520595968448729,0.18040737148399613,0.2826210826210826
6,Gradient Boosting,0.7823714839961202,0.7982074263764405,0.7558195926285161,0.776435421596712
6,AdaBoost,0.7578806983511154,0.7781846717237771,0.7213870029097963,0.7487102051088461
6,Decision Tree,0.6950775945683803,0.6967473709953533,0.6908341416100873,0.69377815658103
6,Perceptron,0.5381910766246363,0.5395232120451694,0.5213385063045587,0.5302750030829942
6,SGD,0.5846265761396702,0.5894413121476166,0.5577109602327837,0.5731373037627709
6,Bagging,0.8014064015518914,0.8334227467811158,0.7533947623666344,0.7913907284768212
6,Extra Trees,0.7255092143549952,0.7404343329886246,0.6944713870029098,0.7167167167167167
6,CatBoost,0.8291707080504365,0.8448056896113793,0.8064985451018428,0.8252077905967001
6,LightGBM,0.8283220174587779,0.8454081632653061,0.8035887487875849,0.8239681750372949
6,XGBoost,0.8250484966052376,0.8363864491844416,0.80819592628516,0.8220495745467998
7,SVM,0.7885548011639185,0.7782974742750234,0.8069835111542192,0.7923809523809524
7,Random Forest,0.8153491755577109,0.8088340061743053,0.8258971871968962,0.8172765446910618
7,Logistic Regression,0.7364209505334627,0.7252772643253235,0.7611542192046556,0.7427827733080927
7,Naive Bayes,0.6388215324927256,0.6375871184811344,0.6433074684772065,0.6404345202172601
7,K-NN,0.662827352085354,0.6605307195792494,0.6699806013579049,0.6652221018418202
7,Gradient Boosting,0.8291707080504365,0.8329654157468727,0.8234723569350145,0.8281916839409829
7,AdaBoost,0.7949806013579049,0.7934861278648975,0.7975266731328807,0.7955012698028783
